City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
288,Biak,ID,81.57,overcast clouds,-0.9131,122.8766,Penginapan Kim
289,Salalah,OM,76.53,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
290,Camocim,BR,78.31,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
291,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
292,Miraflores,MX,77.04,broken clouds,19.2167,-98.8083,Hotel Mansión
294,Pokhara,NP,72.48,clear sky,28.2333,83.9833,OYO 170 Hotel View Point
295,San Quintin,MX,61.74,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
297,San Patricio,US,80.69,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
301,Champerico,GT,88.34,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
302,Pangai,TO,78.91,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
305,Tomatlan,MX,76.75,overcast clouds,19.9333,-105.25,El Salvial
306,Sao Joao Da Barra,BR,72.23,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
307,Tura,IN,75.38,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
310,Matara,LK,78.82,scattered clouds,5.9485,80.5353,Amaloh Boutique Resort
311,Alofi,NU,78.69,few clouds,-19.0595,-169.9187,Taloa Heights
313,Grand-Santi,GF,73.09,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
314,Porterville,US,78.51,few clouds,36.0652,-119.0168,"Holiday Inn Express & Suites Porterville, an IHG Hotel"
315,Manakara,MG,74.68,light rain,-22.1333,48.0167,La Residence Manakara
316,Teguise,ES,66.42,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
317,Bonthe,SL,77.49,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
319,Touros,BR,80.28,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
321,Safaga,EG,73.89,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
322,East London,ZA,61.34,overcast clouds,-33.0153,27.9116,Tu Casa
323,Itarema,BR,77.97,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
325,Wawa,NG,76.32,light rain,9.9022,4.4192,
327,Guiratinga,BR,72.5,scattered clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
328,Wundanyi,KE,61.38,overcast clouds,-3.4019,38.364,Taita Rocks Hotel
329,Karratha,AU,89.73,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
330,Manaure,CO,80.17,few clouds,11.7751,-72.4445,Hotel Palaaima
331,Mayo,US,63.91,clear sky,38.8876,-76.5119,Resorts Resource Group International
334,Port Moresby,PG,87.22,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
335,Kirakira,SB,84.9,broken clouds,-10.4544,161.9205,SanBiz Lodge
336,Poum,NC,77.99,few clouds,-20.2333,164.0167,
337,Rio Grande,BR,65.35,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
340,Marzuq,YE,67.55,clear sky,14.4,46.4667,
341,Nokaneng,BW,68.31,overcast clouds,-19.6667,22.2667,
343,Codrington,AU,71.24,few clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
344,Bhaktapur,NP,60.94,mist,27.6833,85.4167,Cosy Hotel
345,Harrisonburg,US,62.98,clear sky,38.4496,-78.8689,Hampton Inn Harrisonburg - University
346,Gao,ML,81.81,overcast clouds,16.6362,1.637,
347,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
349,Riyadh,SA,78.94,overcast clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
352,Roswell,US,69.55,scattered clouds,34.0232,-84.3616,La Quinta Inn & Suites by Wyndham Atlanta Roswell
355,Ciudad Bolivar,VE,82.8,overcast clouds,8.1222,-63.5497,Hotel Edi
356,Mosquera,CO,62.69,few clouds,4.7059,-74.2302,Hotel SJ
358,Ewa Beach,US,78.1,overcast clouds,21.3156,-158.0072,Base Lodging
360,Uvira,CD,72.5,light rain,-3.4067,29.1458,Hotel Suzana
362,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
364,Muana,BR,74.86,overcast clouds,-1.5283,-49.2167,Pousada Bella do Marajó
367,Kavaratti,IN,83.32,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
368,Vao,NC,75.54,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
369,Lagdo,CM,82.87,overcast clouds,9.05,13.7333,
370,Braganca,BR,73.83,overcast clouds,-1.0536,-46.7656,Marujo's Suíte Hotel
373,Kasongo-Lunda,CD,67.59,scattered clouds,-6.4667,16.8167,
374,Makungu,TZ,63.93,overcast clouds,-8.7333,35.2833,Complex
376,Daura,NG,81.46,overcast clouds,11.5538,11.4085,
377,Praia,CV,69.06,clear sky,14.9215,-23.5087,LT Aparthotel
378,Ca Mau,VN,84.07,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
379,Virginia Beach,US,61.02,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
382,Aripuana,BR,73.47,overcast clouds,-9.1667,-60.6333,
384,Geraldton,AU,66.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
388,San Rafael Del Sur,NI,88.77,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
389,Santa Isabel Do Rio Negro,BR,72.73,overcast clouds,-0.4139,-65.0192,Hotel GSA
392,Karoi,ZW,64.38,overcast clouds,-16.8099,29.6925,Chikangwe Guest houses
393,Kavieng,PG,84.24,light rain,-2.5744,150.7967,Nusa Island Retreat
396,Tirumullaivasal,IN,82.96,scattered clouds,11.2333,79.8333,
403,Baturaja,ID,75.11,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
408,Porto Novo,BJ,84.02,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
410,Mauganj,IN,83.86,clear sky,24.6833,81.8833,Hotel Shagun Palace & Marriage Garden
411,Lorengau,PG,84.94,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
414,Springdale,US,69.93,scattered clouds,36.1867,-94.1288,Springdale Inn
415,Bongor,TD,87.1,overcast clouds,10.2806,15.3722,Oryx Palace
416,Itapecerica,BR,61.29,clear sky,-20.4725,-45.1256,Casa 3 Irmãos
418,Avera,US,69.31,few clouds,33.194,-82.5271,
419,Tautira,PF,80.53,light rain,-17.7333,-149.15,Pension Oaoa
420,Duiwelskloof,ZA,63.86,few clouds,-23.6934,30.14,Silvermist Guesthouse
425,Acapulco,MX,80.38,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
428,Tabanan,ID,81.0,broken clouds,-8.5413,115.1252,Puri Anom Homestay
429,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
430,Esmeraldas,BR,68.86,clear sky,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
431,Akyab,MM,84.52,scattered clouds,20.15,92.9,Hotel Memory
432,Livingstonia,MW,63.3,overcast clouds,-10.606,34.1063,Stone House Guest House
434,Saint-Joseph,RE,71.2,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
435,Mecca,SA,80.11,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
436,Bandar-E Lengeh,IR,89.71,haze,26.5579,54.8807,کافی نت پارس
437,Brejo,BR,74.01,overcast clouds,-3.6844,-42.7503,Hotel Santa Luzia
438,Mitsamiouli,KM,81.9,light rain,-11.3847,43.2844,Foyer ADM
439,Mumford,GH,80.19,light rain,5.2618,-0.759,Spanish Villa
440,Amahai,ID,86.43,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
441,Samana,DO,74.26,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
445,Batemans Bay,AU,68.09,overcast clouds,-35.7167,150.1833,Batemans Bay Marina Resort
446,Arcos,BR,63.1,clear sky,-20.2819,-45.5394,Victor Plaza Hotel Arcos
447,Richards Bay,ZA,67.35,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
