City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
128,Port Elizabeth,ZA,2022-04-16 00:53:28,-33.918,25.5701,57.49,79,0,4.61,clear sky,0.0,0.0
129,Hit,IQ,2022-04-16 00:55:19,33.6416,42.8251,62.6,21,3,5.99,clear sky,0.0,0.0
130,Bambous Virieux,MU,2022-04-16 00:55:20,-20.3428,57.7575,76.21,94,40,14.97,light rain,0.0,0.0
131,Hays,US,2022-04-16 00:55:20,30.0502,-98.0336,79.3,72,74,4.0,broken clouds,0.0,0.0
132,Saint-Denis,FR,2022-04-16 00:55:20,48.9167,2.3333,57.15,76,0,8.05,clear sky,0.0,0.0
133,Kashi,CN,2022-04-16 00:55:21,39.4547,75.9797,60.01,25,0,6.71,clear sky,0.0,0.0
134,Port Hardy,CA,2022-04-16 00:55:21,50.6996,-127.4199,48.38,49,75,10.36,broken clouds,0.0,0.0
135,Quata,BR,2022-04-16 00:55:22,-22.2475,-50.6983,59.61,67,0,4.43,clear sky,0.0,0.0
136,Kudahuvadhoo,MV,2022-04-16 00:55:22,2.6708,72.8944,83.39,72,77,3.78,broken clouds,0.0,0.0
137,Flin Flon,CA,2022-04-16 00:55:22,54.7682,-101.865,24.22,70,100,8.1,overcast clouds,0.0,0.0
138,Saint-Francois,FR,2022-04-16 00:55:24,46.4154,3.9054,51.42,87,0,2.3,clear sky,0.0,0.0
139,Cherskiy,RU,2022-04-16 00:52:31,68.75,161.3,20.28,93,100,6.73,overcast clouds,0.0,0.0
140,Muncar,ID,2022-04-16 00:55:25,-8.4333,114.3333,82.49,81,40,1.68,scattered clouds,0.0,0.0
141,Meulaboh,ID,2022-04-16 00:55:25,4.1363,96.1285,78.62,85,82,3.47,broken clouds,0.0,0.0
142,Vysokogornyy,RU,2022-04-16 00:55:26,50.1167,139.15,34.99,66,100,5.57,overcast clouds,0.0,0.0
143,Chokurdakh,RU,2022-04-16 00:55:26,70.6333,147.9167,11.12,88,100,6.04,overcast clouds,0.0,0.0
144,Aquiraz,BR,2022-04-16 00:51:09,-3.9014,-38.3911,83.17,82,44,3.71,scattered clouds,0.0,0.0
145,Kamenskiy,RU,2022-04-16 00:55:27,50.8855,45.488,43.21,71,88,4.43,overcast clouds,0.0,0.0
146,Rundu,NA,2022-04-16 00:55:27,-17.9333,19.7667,64.04,82,100,2.95,light rain,0.0,0.0
147,Weinan,CN,2022-04-16 00:55:27,34.5036,109.5089,51.21,64,100,4.03,overcast clouds,0.0,0.0
148,Tasiilaq,GL,2022-04-16 00:55:28,65.6145,-37.6368,36.66,98,100,12.17,moderate rain,0.0,0.0
149,Zhengjiatun,CN,2022-04-16 00:55:28,43.5064,123.5064,58.3,22,0,14.92,clear sky,0.0,0.0
150,Victoria,HK,2022-04-16 00:50:39,22.2855,114.1577,75.18,77,95,23.0,overcast clouds,0.0,0.0
151,Cape Town,ZA,2022-04-16 00:54:33,-33.9258,18.4232,59.11,65,0,14.97,clear sky,0.0,0.0
152,Tocopilla,CL,2022-04-16 00:55:29,-22.092,-70.1979,63.61,67,8,7.16,clear sky,0.0,0.0
153,Taltal,CL,2022-04-16 00:55:29,-25.4,-70.4833,61.03,78,0,3.56,clear sky,0.0,0.0
154,Lundazi,ZM,2022-04-16 00:55:29,-12.2929,33.1782,64.36,91,98,7.23,overcast clouds,0.0,0.0
155,Ryotsu,JP,2022-04-16 00:55:30,38.0833,138.4333,48.74,71,69,14.61,broken clouds,0.0,0.0
156,Gamba,GA,2022-04-16 00:55:30,-2.65,10.0,76.48,89,96,2.64,overcast clouds,0.0,0.0
157,Coihaique,CL,2022-04-16 00:55:31,-45.5752,-72.0662,52.41,76,40,3.44,scattered clouds,0.0,0.0
158,Dauphin,CA,2022-04-16 00:54:27,51.1494,-100.0502,21.34,58,0,10.36,clear sky,0.0,0.0
159,Carnarvon,AU,2022-04-16 00:55:31,-24.8667,113.6333,73.47,64,98,9.22,overcast clouds,0.0,0.0
160,Mar Del Plata,AR,2022-04-16 00:55:31,-38.0023,-57.5575,60.1,83,0,15.01,clear sky,0.0,0.0
161,Hajdusamson,HU,2022-04-16 00:55:32,47.6,21.7667,51.48,76,98,10.36,overcast clouds,0.0,0.0
162,Varhaug,NO,2022-04-16 00:55:32,58.6147,5.6457,38.89,79,62,7.81,broken clouds,0.0,0.0
163,Belaya Gora,RU,2022-04-16 00:55:32,68.5333,146.4167,13.78,80,100,2.95,overcast clouds,0.0,0.0
